bid_id,bidder_id,auction
1521,tqidv,qlvbsqtx
766,butaj,dzkqxbfx
5134,vtocj,jyemgkum
2938,gpcnt,bwjpxdsl
3639,butaj,xznlbofn
2337,rmhoc,rvythxwz
740,gpcnt,qtjyuuiz
5364,lkhch,iywlwilm
3906,vtocj,ezwbukzw
4013,zrlrw,zhwqnpxl
3886,lkhch,xzqkoeyp
3336,gpcnt,cboworii
4386,lxmqp,qlvbsqtx
3452,gpcnt,nzpgwmxz
452,exkbl,vdetdisr
5170,tqidv,oloopafv
1141,vtocj,hlbqrfux
1920,rmhoc,mstczaau
3309,exkbl,zhwqnpxl
4600,lkhch,rqrqhncp
3937,zrlrw,bwjpxdsl
3036,rmhoc,zelqwzkc
3017,butaj,hrtfesmu
1707,lxmqp,imrwlzrb
5360,tqidv,dosgbwco
4776,lkhch,zelqwzkc
5395,exkbl,sqkyarba
1460,gpcnt,lwjetrvf
3392,rmhoc,pfernluz
2763,gpcnt,zbyiwudb
2358,zrlrw,zcymnjbc
3635,lxmqp,xnypjovn
4021,exkbl,vdetdisr
398,lxmqp,hrtfesmu
800,vtocj,owyjtuqe
3462,tqidv,wtzohsug
1356,butaj,nvslxuqm
4803,tqidv,oloopafv
4944,rmhoc,jviofomd
73,hkvue,qjwnwtfb
3334,gpcnt,gfssvkgt
5379,tqidv,xdeultgu
3411,zrlrw,jyemgkum
3437,rmhoc,hitozvro
2139,lkhch,zercyeht
3916,lkhch,lwjetrvf
1728,exkbl,nqvmplxs
581,zrlrw,hitozvro
3073,butaj,rzzqpnhh
1125,rmhoc,aubegqay
5141,lxmqp,anbdjgmo
2534,gpcnt,fxxtdwma
434,zrlrw,wdinpejd
2303,exkbl,inhlejlx
5432,lxmqp,fxxtdwma
493,lkhch,fgodxfai
4419,tqidv,xnximdix
3101,vtocj,xyizzjil
1466,rmhoc,zdnvczxc
2929,vtocj,imiudkzw
1806,hkvue,ecbxhmdt
1013,lxmqp,bwjpxdsl
658,hkvue,xdeultgu
4385,tqidv,wdinpejd
100,lkhch,iywlwilm
1350,butaj,daxjvsys
2837,exkbl,xzqkoeyp
2195,tqidv,xznlbofn
4471,rmhoc,mdaipezn
3820,lxmqp,jyemgkum
3350,tqidv,ckhtthmz
4541,lkhch,ckhtthmz
3341,zrlrw,jyemgkum
2360,butaj,nvslxuqm
1082,zrlrw,oloopafv
1103,vtocj,tabelgmj
4392,rmhoc,zelqwzkc
3394,lkhch,jviofomd
4297,hkvue,rvythxwz
2711,vtocj,ckhtthmz
3823,hkvue,ezwbukzw
4507,lkhch,pmekmcve
2451,zrlrw,xyizzjil
3831,exkbl,eqrpepte
2698,lkhch,daxjvsys
3110,zrlrw,lwjetrvf
1257,zrlrw,imrwlzrb
1545,tqidv,dtgcjgoa
2267,lxmqp,vdetdisr
1813,zrlrw,qwvudxya
233,lkhch,osdrxkza
3601,lkhch,xnximdix
4131,tqidv,eqrpepte
2131,zrlrw,dosgbwco
4042,rmhoc,nzpgwmxz
5298,vtocj,aygunfab
3263,gpcnt,xyizzjil
932,zrlrw,dtgcjgoa
4274,lkhch,sqkyarba
4398,rmhoc,jviofomd
3949,hkvue,paollfwt
5419,tqidv,zercyeht
463,rmhoc,hrhmjowt
1279,gpcnt,ixbsntvw
950,tqidv,xdeultgu
4742,butaj,elklyutg
1898,hkvue,tabelgmj
3159,zrlrw,eqrpepte
381,zrlrw,vdetdisr
2981,rmhoc,qtjyuuiz
907,gpcnt,xznlbofn
597,zrlrw,flcxyyar
3950,tqidv,bwjpxdsl
5427,lxmqp,xhqmcidh
3799,gpcnt,mstczaau
2600,exkbl,wtzohsug
955,gpcnt,bzvsnndf
341,tqidv,vdetdisr
1786,rmhoc,jviofomd
812,exkbl,gknwcpkw
1203,tqidv,pqjmuclj
5068,lxmqp,xzqkoeyp
5099,gpcnt,paollfwt
4204,rmhoc,lwjetrvf
3794,vtocj,zbyiwudb
4909,rmhoc,jyemgkum
117,rmhoc,zhwqnpxl
2452,hkvue,qbpiacbj
3163,vtocj,ckhtthmz
482,zrlrw,nqvmplxs
2281,tqidv,hrtfesmu
4192,gpcnt,ezsooppy
5484,butaj,fgodxfai
4787,vtocj,ylithcxo
1446,gpcnt,rqtgdewl
5174,gpcnt,qtjyuuiz
4169,rmhoc,vdetdisr
1199,vtocj,dtgcjgoa
5465,tqidv,tewwamau
1936,zrlrw,zercyeht
4973,exkbl,taloqhtq
2481,butaj,zcymnjbc
3617,rmhoc,tewwamau
2987,zrlrw,rqtgdewl
1575,vtocj,zbyiwudb
2886,exkbl,ouxkhvli
4408,butaj,aygunfab
1852,exkbl,ynrlvwgx
561,gpcnt,fgodxfai
4202,rmhoc,xnximdix
2570,exkbl,ixbsntvw
3414,lxmqp,taloqhtq
1836,rmhoc,ecbxhmdt
1053,lkhch,ezsooppy
1283,zrlrw,xhqmcidh
1585,exkbl,tabelgmj
3777,tqidv,taloqhtq
5036,rmhoc,jviofomd
402,rmhoc,ynrlvwgx
1392,tqidv,hitozvro
4618,vtocj,zhwqnpxl
4923,zrlrw,rqrqhncp
3,exkbl,tewwamau
5115,gpcnt,imiudkzw
1906,lkhch,kzupngjc
5363,lxmqp,dosgbwco
4319,hkvue,cboworii
4147,butaj,osdrxkza
729,hkvue,pfernluz
4835,gpcnt,ynrlvwgx
2214,exkbl,imrwlzrb
4083,gpcnt,ecbxhmdt
351,lxmqp,tewwamau
4644,lkhch,gfssvkgt
4994,tqidv,rqrqhncp
3674,hkvue,inhlejlx
1348,hkvue,ezsooppy
655,hkvue,rvythxwz
2219,tqidv,qlvbsqtx
3688,lxmqp,rvythxwz
721,zrlrw,qtjyuuiz
2317,tqidv,vrgkvkju
2313,tqidv,xhqmcidh
863,hkvue,giaomgqz
3354,tqidv,kzupngjc
4140,lkhch,luzloayk
5267,rmhoc,rqrqhncp
2779,lkhch,vrgkvkju
2163,gpcnt,lckvptax
3106,tqidv,nzpgwmxz
4647,exkbl,geweclbi
713,butaj,gknwcpkw
2253,tqidv,xyizzjil
3114,hkvue,dosgbwco
2160,exkbl,owyjtuqe
4335,lxmqp,ckhtthmz
2051,tqidv,qtjyuuiz
3497,hkvue,taloqhtq
2462,lkhch,imiudkzw
828,butaj,hrtfesmu
3259,lxmqp,vrmtxcur
2739,gpcnt,hyqjumed
1110,gpcnt,zercyeht
3970,lkhch,elklyutg
2911,rmhoc,nqvmplxs
386,lxmqp,zhwqnpxl
804,zrlrw,nvslxuqm
3655,rmhoc,owyjtuqe
